"Biscoito, polvilho doce","437.55","1830.71","1.29","80.54","12.25","9.39","1.16"
"Brócolis, cozido","24.64","103.08","2.13","4.37","0.46","0","3.42"
"Brócolis, cru","25.5","106.67","3.64","4.03","0.27","0","2.88"
"Cará, cozido","77.58","324.62","1.53","18.85","0.11","0","2.63"
"Cará, cru","95.63","400.13","2.28","22.95","0.14","0","7.27"
"Caruru, cru","34.03","142.39","3.2","5.97","0.59","0","4.47"
"Catalonha, crua","23.89","99.95","1.87","4.75","0.28","0","2.05"
"Catalonha, refogada","63.45","265.47","1.95","4.81","4.81","0","3.65"
"Cebola, crua","39.42","164.93","1.71","8.85","0.08","0","2.19"
"Cebolinha, crua","19.52","81.65","1.87","3.37","0.35","0","3.55"
"Cenoura, cozida","29.86","124.94","0.85","6.69","0.22","0","2.63"
"Cenoura, crua","34.14","142.82","1.32","7.66","0.17","0","3.18"
"Chicória, crua","13.84","57.89","1.14","2.85","0.14","0","2.2"
"Chuchu, cozido","18.54","77.57","0.41","4.79","0","0","1.04"
"Chuchu, cru","16.98","71.04","0.7","4.14","0.06","0","1.28"
"Coentro, folhas desidratadas","309.07","1293.15","20.88","47.96","10.39","0","37.29"
"Couve, manteiga, crua","27.06","113.21","2.87","4.33","0.55","0","3.12"
"Couve, manteiga, refogada ","90.34","378","1.67","8.71","6.59","0","5.74"
"Couve-flor, crua","22.56","94.41","1.91","4.52","0.21","0","2.35"
"Couve-flor, cozida","19.11","79.97","1.24","3.88","0.27","0","2.13"
"Espinafre, Nova Zelândia, cru","16.1","67.34","2","2.57","0.24","0","2.1"
"Espinafre, Nova Zelândia, refogado","67.25","281.39","2.72","4.24","5.43","0","2.52"
"Farinha, de mandioca, crua","360.87","1509.88","1.55","87.9","0.28","0","6.39"
"Farinha, de mandioca, torrada","365.27","1528.29","1.23","89.19","0.29","0","6.54"
"Farinha, de puba","360.18","1506.99","1.62","87.29","0.47","0","4.24"
"Fécula, de mandioca","330.85","1384.28","0.52","81.15","0.28","0","0.65"
"Feijão, broto, cru","38.72","162.02","4.17","7.76","0.1","0","1.97"
"Inhame, cru","96.7","404.59","2.05","23.23","0.21","0","1.65"
"Jiló, cru","27.37","114.5","1.4","6.19","0.22","0","4.83"
"Jurubeba, crua","125.81","526.4","4.41","23.06","3.91","0","23.92"
